path,folder,label,region,filename,extension,file_bytes,width,height,aspect_ratio,pixels,sha256,pixel_sha256,mean_r,mean_g,mean_b,label_encoded,region_encoded,region_Amravati,region_Nagpur,region_Pune,region_Unknown
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_121438.jpg,Nagpur_Region_Basil_Plant_Healthy,Healthy,Nagpur,IMG_20191104_121438.jpg,.jpg,20476,300,300,1.0,90000,d5d85d05428bb03fd01784dba3813355a4ccd100dd94a51f72237571477eb432,8afcd148ca238c92ea0242906f71fb033d82504987af2e6af3e59f138e0bea25,130.69256666666666,138.0177111111111,97.07304444444443,0,1,False,True,False,False
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_121800.jpg,Nagpur_Region_Basil_Plant_Healthy,Healthy,Nagpur,IMG_20191104_121800.jpg,.jpg,16157,300,300,1.0,90000,5d8ff030065708989b8ddef9ebc40d99f4c4e9fe2c1bbc1029daef75c5b961ea,83c307fd9fad95e3869596f7226bcb2a923b60a486834bc706be8f63e36213b8,134.9623,150.29983333333334,94.36848888888888,0,1,False,True,False,False
Pune_Region_Basil_Plant_Healthy/IMG_20190904_205248.jpg,Pune_Region_Basil_Plant_Healthy,Healthy,Pune,IMG_20190904_205248.jpg,.jpg,15929,300,300,1.0,90000,f3ebf9f82aae80465b1e7a7ccd3b70a3269f7741e5c6d948e635a1d738839b49,5f6b04693b6863507dac6c10952bd377f985e5ad4a0e1431371a6ed00b185c1f,127.37007777777778,130.0089,101.56914444444443,0,2,False,False,True,False
Pune_Region_Basil_Plant_Healthy/IMG_20190908_172400.jpg,Pune_Region_Basil_Plant_Healthy,Healthy,Pune,IMG_20190908_172400.jpg,.jpg,21980,300,300,1.0,90000,87419b0170420409bd8cbc6929d8c6fbb49edbfb2cc1ed9147bbcf74464b1c44,7a3eeb1f721dab01fc3b4be26b8909252d6711c62b681c6fce92961969dbb82f,128.7243777777778,122.41148888888888,99.8512,0,2,False,False,True,False
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165225.jpg,Nagpur_Region_Basil_Plant_Healthy,Healthy,Nagpur,IMG_20191022_165225.jpg,.jpg,18982,300,300,1.0,90000,3ab96cda2197513e394c6d97feaa495b7f02c23a50548ceff9d82c30d6b23190,365c435926c4bf2d0e83031705542989cee308f5f591fb4b5de6680df7d28609,124.80156666666667,122.42392222222222,90.84354444444445,0,1,False,True,False,False
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_121320.jpg,Nagpur_Region_Basil_Plant_Healthy,Healthy,Nagpur,IMG_20191104_121320.jpg,.jpg,22360,300,300,1.0,90000,df6e2967f7db6f48464acb498abca3aa9b502a52593ccc06a85c72bc82f518c7,a223115af46e6bcf9c13f8494eb0769f0da906ad7109b24cd2a51fe2a2f481f0,135.47348888888888,127.48422222222224,106.77537777777778,0,1,False,True,False,False
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182219.jpg,Nagpur_Region_Basil_Plant_Healthy,Healthy,Nagpur,IMG_20190920_182219.jpg,.jpg,15975,300,300,1.0,90000,05001c36670b449d2d93d073cb6bd86ad560175c7f1f9aee4ddc9297acffa584,76a0cd2c3803332b49c55964bd9c34a853621701de58614111e7309b4be28cea,118.59414444444444,128.38253333333333,94.73002222222222,0,1,False,True,False,False
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104317.jpg,Nagpur_Region_Basil_Plant_Healthy,Healthy,Nagpur,IMG_20191104_104317.jpg,.jpg,18512,300,300,1.0,90000,410ccead7193fd77d21ffad0936cfe732445f0bdfc36d93176a53838bd4a851d,84d36d2dd8ff245c0c04c71a86f3b7e151d1de42abb004f45e4d830f1b2110d8,166.24104444444444,164.39006666666666,146.07564444444444,0,1,False,True,False,False
Pune_Region_Basil_Plant_Healthy/IMG_20190908_171919.jpg,Pune_Region_Basil_Plant_Healthy,Healthy,Pune,IMG_20190908_171919.jpg,.jpg,27239,300,300,1.0,90000,7dc54aa4fd5e52d3558a9d778d48939061a477065473f8d9e8eb0b14468cfa33,b5157e704210f22b01f09d534d7ec27c92c0c47b9bfcfada08b083caace82660,140.80262222222223,141.2522,117.81114444444444,0,2,False,False,True,False
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104334.jpg,Nagpur_Region_Basil_Plant_Healthy,Healthy,Nagpur,IMG_20191104_104334.jpg,.jpg,15485,300,300,1.0,90000,0bc94802d236d39358b32638b3ace79f8a1e83b79d8ca06bcf8558e8c4151a13,d1967766f813f9a95936baafca59ba047ad85656187a5dfa627dcd11fd91b45d,161.97598888888888,154.14215555555555,134.95592222222223,0,1,False,True,False,False
